contrast,estimate,SE,df,t.ratio,p.value,DV
Q582 - Q583,-0.14167612991142398,0.07036800643013752,719,-2.01336000689578,0.33562270905559477,Comp2
Q582 - Q584,-0.0032436974789913503,0.0963183034941741,719,-0.03367685436016373,0.9999999939068263,Comp2
Q582 - Q585,-0.1114825034491406,0.0872910153498171,719,-1.2771360603651654,0.7975365769820271,Comp2
Q582 - Q586,-0.07228717573986103,0.1301759418481823,719,-0.5553036506865912,0.9937335173590638,Comp2
Q583 - Q584,0.1384324324324326,0.09348473264474921,719,1.4808025708164443,0.6767207700778783,Comp2
Q583 - Q585,0.030193626462283372,0.084154031457004,719,0.358790018012505,0.999221008981626,Comp2
Q583 - Q586,0.06938895417156293,0.1280935419360623,719,0.5417053281749233,0.994418730790368,Comp2
Q584 - Q585,-0.10823880597014923,0.10680571271945322,719,-1.013417758415791,0.9134977795487059,Comp2
Q584 - Q586,-0.06904347826086968,0.1439913703829841,719,-0.4794973343001725,0.9968595382912191,Comp2
Q585 - Q586,0.03919532770927956,0.1381159676416014,719,0.2837856359301478,0.9997523123615446,Comp2
Q581 - Q582,0.07619840388985791,0.06941115241833612,719,1.0977832990095813,0.8822861107704243,Comp3
Q581 - Q583,-0.033953765085840276,0.06427234088960615,719,-0.5282795774337687,0.9950380181256258,Comp3
Q581 - Q584,0.10955974842767308,0.09826546742798849,719,1.114936419632475,0.8752399821335444,Comp3
Q581 - Q585,-0.16223129634844605,0.08682703694699441,719,-1.8684421587193392,0.42258938928082435,Comp3
Q581 - Q586,-0.2595706863549358,0.13946822980044482,719,-1.8611456295554698,0.42718675526010164,Comp3
Q582 - Q583,-0.11015216897569818,0.07952924681184945,719,-1.3850523347253187,0.7360985104702,Comp3
Q582 - Q584,0.03336134453781517,0.10885802397559584,719,0.3064665636893632,0.9996388932714773,Comp3
Q582 - Q585,-0.23842970023830395,0.09865546938728267,719,-2.4167915039998693,0.15174083228551993,Comp3
Q582 - Q586,-0.33576909024479373,0.14712360252080564,719,-2.2822245002960053,0.20263430190142095,Comp3
Q583 - Q584,0.14351351351351335,0.10565554934436544,719,1.3583149621962272,0.7519334051572987,Comp3
Q583 - Q585,-0.12827753126260577,0.09511008024080997,719,-1.3487269797041372,0.7575196957736521,Comp3
Q583 - Q586,-0.22561692126909552,0.144770094087447,719,-1.558449779916657,0.6263012854533867,Comp3
Q584 - Q585,-0.27179104477611915,0.12071079342305992,719,-2.251588586809816,0.21569655106302854,Comp3
Q584 - Q586,-0.3691304347826089,0.16273766751277832,719,-2.2682544270436,0.20852228127991768,Comp3
Q585 - Q586,-0.09733939000648975,0.1560973436149804,719,-0.6235813355452146,0.9892905154871012,Comp3
Q581 - Q582,0.04030794707820237,0.060412145679879264,719,0.6672159484583122,0.9854333718429535,Comp4
Q581 - Q583,-0.09874497138648074,0.05593957002194986,719,-1.7652079082433896,0.48906468138006964,Comp4
Q581 - Q584,-0.0265828092243186,0.08552556075978454,719,-0.3108171286825196,0.9996131017170817,Comp4
Q581 - Q585,-0.10698081917456728,0.07557009820814362,719,-1.4156501276458415,0.7175452786409774,Comp4
Q581 - Q586,0.01631574150031922,0.12138647354014533,719,0.13441152893302583,0.9999938869491684,Comp4
Q582 - Q583,-0.1390529184646831,0.06921845088022663,719,-2.008899602582782,0.33815968516903827,Comp4
Q582 - Q584,-0.06689075630252098,0.09474481511562159,719,-0.706009676845018,0.9812252667836938,Comp4
Q582 - Q585,-0.14728876625276965,0.08586499980321548,719,-1.7153527815795089,0.521991556143448,Comp4
Q582 - Q586,-0.023992205577883154,0.12804934363959122,719,-0.1873668766738221,0.9999681281340671,Comp4
Q583 - Q584,0.07216216216216213,0.09195753443784246,719,0.784733546884505,0.9700943293838025,Comp4
Q583 - Q585,-0.008235847788086545,0.08277926274013235,719,-0.09949167841638326,0.9999986354432471,Comp4
Q583 - Q586,0.11506071288679995,0.12600096251665616,719,0.9131732852563724,0.9431586858095307,Comp4
Q584 - Q585,-0.08039800995024868,0.10506089847719195,719,-0.7652514980890114,0.9731968863508469,Comp4
Q584 - Q586,0.042898550724637816,0.14163907866178302,719,0.30287228023471097,0.9996591633527028,Comp4
Q585 - Q586,0.12329656067488651,0.13585965848651188,719,0.9075288577081722,0.9445949071326067,Comp4
Q581 - Q582,0.17158184028328322,0.09886027231362578,719,1.7355995109840936,0.508575916769294,Comp5
Q581 - Q583,0.2729899711031798,0.09154121349672532,719,2.9821537280904122,0.03496434081509614,Comp5
Q581 - Q584,0.11704402515723276,0.13995662844506246,719,0.836287830434386,0.9606839197172604,Comp5
Q581 - Q585,-0.26997090021590125,0.12366520678163491,719,-2.1830788727229438,0.24689913646626627,Comp5
Q581 - Q586,0.10965272080940651,0.19864051664310095,719,0.5520158860964929,0.9939047127046513,Comp5
Q582 - Q583,0.10140813081989658,0.113271177941717,719,0.8952686169828261,0.9476311238542823,Comp5
Q582 - Q584,-0.05453781512605045,0.15504329662891053,719,-0.3517586139604885,0.9992924498069289,Comp5
Q582 - Q585,-0.44155274049918447,0.14051209681801638,719,-3.1424535716028745,0.021493880690089062,Comp5
Q582 - Q586,-0.061929119473876706,0.20954383989058026,719,-0.2955425437761134,0.9996977213364273,Comp5
Q583 - Q584,-0.15594594594594702,0.15048210576706164,719,-1.0363089029824124,0.9055975992976355,Comp5
Q583 - Q585,-0.542960871319081,0.13546250285124808,719,-4.008200497486071,9.521635001521478e-4,Comp5
Q583 - Q586,-0.16333725029377327,0.2061918067300879,719,-0.7921616910199895,0.9688475588888373,Comp5
Q584 - Q585,-0.38701492537313403,0.1719248491521241,719,-2.251070321025508,0.21592227090548566,Comp5
Q584 - Q586,-0.007391304347826255,0.23178249554242478,719,-0.03188896698402047,0.999999995361082,Comp5
Q585 - Q586,0.3796236210253078,0.22232487661642686,719,1.7075175158210731,0.5271957247982713,Comp5
Q581 - Q582,0.08993534520726532,0.05799059059989742,719,1.5508609979120371,0.6312913947759791,Comp6
Q581 - Q583,-0.10877386820783044,0.0536972932672646,719,-2.0256862420687805,0.32866298030273555,Comp6
Q581 - Q584,0.06410901467505256,0.08209736178099657,719,0.7808900710606288,0.9707254674699954,Comp6
Q581 - Q585,-0.04803028880753477,0.07254095310576057,719,-0.6621127342717616,0.9859303670773822,Comp6
Q581 - Q586,-0.09907939112204896,0.11652082891961131,719,-0.8503148496343487,0.9578076317074169,Comp6
Q582 - Q583,-0.19870921341509576,0.06644390464500967,719,-2.990631186965018,0.034101717652774255,Comp6
Q582 - Q584,-0.025826330532212755,0.09094707236433923,719,-0.2839709939067745,0.9997515169482146,Comp6
Q582 - Q585,-0.13796563401480008,0.08242319477996882,719,-1.6738690411491992,0.549599136176526,Comp6
Q582 - Q586,-0.18901473632931426,0.12291662512596842,719,-1.5377475271193513,0.6398873247552836,Comp6
Q583 - Q584,0.172882882882883,0.08827151679760611,719,1.9585353141634416,0.3674623384743605,Comp6
Q583 - Q585,0.06074357940029567,0.079461146127163207,719,0.7644437861881145,0.9733203747445069,Comp6
Q583 - Q586,0.009694477085781486,0.12095035112997214,719,0.08015253362401478,0.9999995360323993,Comp6
Q584 - Q585,-0.11213930348258733,0.10084964675699962,719,-1.1119454265694206,0.8764854714635691,Comp6
Q584 - Q586,-0.16318840579710153,0.1359616304169407,719,-1.2002533751372872,0.8367819514371859,Comp6
Q585 - Q586,-0.051049102314514185,0.13041387200648977,719,-0.3914392045040564,0.9988121505753403,Comp6
